song1,1981,author1,usa,rock
song2,1981,author1,usa,rock
song3,1981,author1,usa,rock
song4,1981,author1,usa,rock
song5,1981,author1,usa,rock
song6,1981,author2,usa,rock
song7,1981,author2,usa,rock
song8,1981,author2,usa,rock
song9,1981,author2,usa,rock
song10,1982,author3,usa,classic-rock
song11,1982,author3,usa,classic-rock
song12,1982,author3,usa,classic-rock
song13,1982,author3,usa,classic-rock
song14,1982,author3,usa,classic-rock
song15,1982,author3,usa,classic-rock
song16,1982,author3,usa,classic-rock
song17,1982,author3,usa,classic-rock
song18,1983,author3,usa,classic-rock
song19,1983,author4,usa,rap
song20,1983,author4,usa,rap
song22,1983,author4,usa,rap
song23,1984,author4,usa,rap
song24,1984,author4,usa,rap
song25,1984,author4,usa,rap
song26,1985,author4,usa,rap
song27,1986,author4,usa,rap
song28,1987,author5,usa,grunge
song29,1988,author5,usa,grunge
song30,1989,author5,usa,grunge
song31,1989,author5,usa,grunge
song32,1989,author5,usa,grunge
song33,1989,author5,usa,grunge
song34,1989,author5,usa,grunge
song35,1989,author5,usa,grunge
song36,1989,author5,usa,grunge
song37,1989,author5,usa,grunge
song38,1989,author5,usa,grunge
song39,1989,author5,usa,grunge
song40,1989,author6,usa,hip-hop
song41,1989,author6,usa,hip-hop
song42,1989,author6,usa,hip-hop
song43,1989,author6,usa,hip-hop
song44,1989,author6,usa,hip-hop
song45,1989,author6,usa,hip-hop
song46,1989,author6,usa,hip-hop
song47,1989,author6,usa,hip-hop
song48,1989,author6,usa,hip-hop
song49,1989,author6,usa,hip-hop
