0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
0,100.00,0,1,GOOD
0,200.00,0,1,GOOD
0,300.00,0,1,GOOD
0,400.00,0,1,GOOD
0,500.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
0,0,1,1,BAD
0,0,2,1,BAD
0,0,3,1,BAD
0,0,4,1,BAD
1,0,5,1,BAD
1,0,6,1,BAD
1,0,7,1,BAD
1,0,8,1,BAD
1,0,9,1,BAD
0,100.00,1,1,VERY-BAD
0,200.00,2,1,VERY-BAD
0,300.00,3,1,VERY-BAD
0,400.00,4,1,VERY-BAD
0,500.00,5,1,VERY-BAD
1,100.00,6,1,VERY-BAD
1,100.00,7,1,VERY-BAD
1,100.00,8,1,VERY-BAD
1,100.00,9,1,VERY-BAD
1,100.00,10,1,VERY-BAD
0,0,4,0,NO-CREDIT
1,0,5,0,NO-CREDIT
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
0,100.00,0,1,GOOD
0,200.00,0,1,GOOD
0,300.00,0,1,GOOD
0,400.00,0,1,GOOD
0,500.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
0,0,1,1,BAD
0,0,2,1,BAD
1,0,5,1,BAD
1,0,6,1,BAD
1,0,7,1,BAD
1,0,8,1,BAD
1,0,9,1,BAD
0,100.00,1,1,VERY-BAD
0,200.00,2,1,VERY-BAD
0,300.00,3,1,VERY-BAD
0,400.00,4,1,VERY-BAD
0,500.00,5,1,VERY-BAD
1,100.00,6,1,VERY-BAD
1,100.00,7,1,VERY-BAD
1,100.00,8,1,VERY-BAD
1,100.00,9,1,VERY-BAD
1,100.00,10,1,VERY-BAD
1,0,5,0,NO-CREDIT
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
0,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
0,100.00,0,1,GOOD
0,200.00,0,1,GOOD
0,300.00,0,1,GOOD
0,400.00,0,1,GOOD
0,500.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
0,0,1,1,BAD
0,0,2,1,BAD
0,0,3,1,BAD
0,0,4,1,BAD
1,0,5,1,BAD
1,0,6,1,BAD
1,0,7,1,BAD
1,0,8,1,BAD
1,0,9,1,BAD
0,100.00,1,1,VERY-BAD
0,200.00,2,1,VERY-BAD
0,300.00,3,1,VERY-BAD
0,400.00,4,1,VERY-BAD
0,500.00,5,1,VERY-BAD
1,100.00,6,1,VERY-BAD
1,100.00,7,1,VERY-BAD
1,100.00,8,1,VERY-BAD
1,100.00,9,1,VERY-BAD
1,100.00,10,1,VERY-BAD
0,0,0,0,NO-CREDIT
1,0,0,0,NO-CREDIT
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
1,0,0,1,VERY-GOOD
0,100.00,0,1,GOOD
0,200.00,0,1,GOOD
0,300.00,0,1,GOOD
0,400.00,0,1,GOOD
0,500.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
1,100.00,0,1,GOOD
0,0,1,1,BAD
0,0,2,1,BAD
1,0,6,1,BAD
1,0,7,1,BAD
1,0,8,1,BAD
1,0,9,1,BAD
0,100.00,1,1,VERY-BAD
